CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment_RuleBased,Cluster,Segment_Cluster
C00342,17,14,23924.71,5,4,4,544,13,Champions,2,Champions
C00343,89,5,4683.53,3,2,3,323,8,Needs Attention,1,Price-Sensitive / Low-Value
C00344,190,10,15359.33,2,4,4,244,10,At Risk,0,At Risk
C00345,54,19,34153.38,4,5,5,455,14,Champions,2,Champions
C00346,98,15,22009.329999999998,3,5,4,354,12,Loyal Customers,0,At Risk
C00347,45,14,23265.3,4,4,4,444,12,Champions,2,Champions
C00348,190,5,5136.24,2,2,3,223,7,Needs Attention,1,Price-Sensitive / Low-Value
C00349,45,17,31554.28,4,5,5,455,14,Champions,2,Champions
C00350,17,15,27079.489999999998,5,5,5,555,15,Champions,2,Champions
C00351,14,14,23215.87,5,4,4,544,13,Champions,2,Champions
C00352,61,5,2190.1,4,2,1,421,7,New Customers,1,Price-Sensitive / Low-Value
C00353,82,6,2636.62,3,2,2,322,7,Needs Attention,1,Price-Sensitive / Low-Value
C00354,100,11,18096.9,3,4,4,344,11,Loyal Customers,0,At Risk
C00355,29,33,109005.15,5,5,5,555,15,Champions,2,Champions
C00356,54,12,21765.68,4,4,4,444,12,Champions,2,Champions
C00357,480,2,1360.06,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00358,58,2,2667.85,4,1,2,412,7,New Customers,1,Price-Sensitive / Low-Value
C00359,32,4,3760.6400000000003,5,2,3,523,10,New Customers,1,Price-Sensitive / Low-Value
C00360,17,25,80904.55,5,5,5,555,15,Champions,2,Champions
C00361,100,8,4303.14,3,3,3,333,9,Loyal Customers,1,Price-Sensitive / Low-Value
C00362,184,2,2165.23,2,1,1,211,4,Dormant / Lost,1,Price-Sensitive / Low-Value
C00363,33,20,35560.02,4,5,5,455,14,Champions,2,Champions
C00364,31,19,35344.77,5,5,5,555,15,Champions,2,Champions
C00365,158,9,15456.869999999999,2,3,4,234,9,At Risk,0,At Risk
C00366,415,3,2267.65,1,1,2,112,4,Dormant / Lost,3,Dormant / Lost
C00367,384,5,3471.82,1,2,3,123,6,Needs Attention,3,Dormant / Lost
C00368,23,8,3586.09,5,3,3,533,11,Loyal Customers,1,Price-Sensitive / Low-Value
C00369,87,6,2050.9,3,2,1,321,6,Needs Attention,1,Price-Sensitive / Low-Value
C00370,14,18,32853.09,5,5,5,555,15,Champions,2,Champions
C00371,42,6,2880.23,4,2,2,422,8,New Customers,1,Price-Sensitive / Low-Value
C00372,115,7,3034.91,3,3,2,332,8,Needs Attention,1,Price-Sensitive / Low-Value
C00373,28,23,43064.37,5,5,5,555,15,Champions,2,Champions
C00374,427,9,5446.11,1,3,3,133,7,At Risk,3,Dormant / Lost
C00375,20,14,26184.77,5,4,5,545,14,Champions,2,Champions
C00376,122,14,24373.35,3,4,4,344,11,Loyal Customers,0,At Risk
C00377,153,6,2239.51,2,2,1,221,5,Dormant / Lost,1,Price-Sensitive / Low-Value
C00378,93,7,2786.04,3,3,2,332,8,Needs Attention,1,Price-Sensitive / Low-Value
C00379,111,5,1881.6299999999999,3,2,1,321,6,Needs Attention,1,Price-Sensitive / Low-Value
C00380,44,11,23583.47,4,4,4,444,12,Champions,2,Champions
C00381,455,4,1913.9,1,2,1,121,4,Dormant / Lost,3,Dormant / Lost
C00382,50,5,6062.65,4,2,3,423,9,New Customers,1,Price-Sensitive / Low-Value
C00383,124,4,3961.44,3,2,3,323,8,Needs Attention,1,Price-Sensitive / Low-Value
C00384,213,3,1460.9099999999999,2,1,1,211,4,Dormant / Lost,1,Price-Sensitive / Low-Value
C00385,111,8,2939.34,3,3,2,332,8,Needs Attention,1,Price-Sensitive / Low-Value
C00386,38,11,16919.3,4,4,4,444,12,Champions,0,At Risk
C00387,61,6,2738.66,4,2,2,422,8,New Customers,1,Price-Sensitive / Low-Value
C00388,31,20,35237.3,5,5,5,555,15,Champions,2,Champions
C00389,21,24,74810.45,5,5,5,555,15,Champions,2,Champions
C00390,94,10,15927.61,3,4,4,344,11,Loyal Customers,0,At Risk
C00391,388,4,2316.31,1,2,2,122,5,Dormant / Lost,3,Dormant / Lost
C00392,47,15,27949.18,4,5,5,455,14,Champions,2,Champions
C00393,191,7,2256.35,2,3,1,231,6,Needs Attention,1,Price-Sensitive / Low-Value
C00394,33,16,31502.01,4,5,5,455,14,Champions,2,Champions
C00395,83,6,2468.4,3,2,2,322,7,Needs Attention,1,Price-Sensitive / Low-Value
C00396,60,5,7313.98,4,2,3,423,9,New Customers,1,Price-Sensitive / Low-Value
C00397,30,4,1312.26,5,2,1,521,8,New Customers,1,Price-Sensitive / Low-Value
C00398,66,14,28717.989999999998,4,4,5,445,13,Champions,2,Champions
C00399,72,6,2468.15,3,2,2,322,7,Needs Attention,1,Price-Sensitive / Low-Value
C00400,307,3,1778.75,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00401,55,6,2314.04,4,3,2,432,9,Needs Attention,1,Price-Sensitive / Low-Value
C00402,24,3,3709.02,5,1,3,513,9,New Customers,1,Price-Sensitive / Low-Value
C00403,135,2,1376.55,2,1,1,211,4,Dormant / Lost,1,Price-Sensitive / Low-Value
C00404,15,34,119316.75,5,5,5,555,15,Champions,2,Champions
C00405,103,10,3103.89,3,4,2,342,9,Needs Attention,1,Price-Sensitive / Low-Value
C00406,301,8,4680.03,1,3,3,133,7,At Risk,3,Dormant / Lost
C00407,10,28,94297.48,5,5,5,555,15,Champions,2,Champions
C00408,8,2,2320.08,5,1,2,512,8,New Customers,1,Price-Sensitive / Low-Value
C00409,108,15,25224.88,3,5,4,354,12,Loyal Customers,0,At Risk
C00410,46,4,5056.5,4,2,3,423,9,New Customers,1,Price-Sensitive / Low-Value
C00411,57,5,1916.25,4,2,1,421,7,New Customers,1,Price-Sensitive / Low-Value
C00412,229,18,31673.39,1,5,5,155,11,At Risk,0,At Risk
C00413,96,3,3284.64,3,1,2,312,6,Needs Attention,1,Price-Sensitive / Low-Value
C00414,43,21,38634.25,4,5,5,455,14,Champions,2,Champions
C00415,184,9,13220.98,2,3,4,234,9,At Risk,0,At Risk
C00416,59,17,27934.09,4,5,5,455,14,Champions,2,Champions
C00417,397,3,1725.3899999999999,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00418,25,25,79764.92,5,5,5,555,15,Champions,2,Champions
C00419,284,4,3493.56,1,2,3,123,6,Needs Attention,3,Dormant / Lost
C00420,31,4,3875.1000000000004,5,2,3,523,10,New Customers,1,Price-Sensitive / Low-Value
C00421,127,17,25832.53,2,5,4,254,11,At Risk,0,At Risk
C00422,103,11,4211.57,3,4,3,343,10,Loyal Customers,0,At Risk
C00423,72,3,2330.64,3,1,2,312,6,Needs Attention,1,Price-Sensitive / Low-Value
C00424,20,2,2170.27,5,1,1,511,7,New Customers,1,Price-Sensitive / Low-Value
C00425,19,9,16993.02,5,3,4,534,12,Loyal Customers,0,At Risk
C00426,102,9,15809.38,3,3,4,334,10,Loyal Customers,0,At Risk
C00427,41,15,27578.22,4,5,5,455,14,Champions,2,Champions
C00428,22,30,92078.16,5,5,5,555,15,Champions,2,Champions
C00429,154,10,13569.23,2,4,4,244,10,At Risk,0,At Risk
C00430,30,16,30308.44,5,5,5,555,15,Champions,2,Champions
C00431,60,22,37533.51,4,5,5,455,14,Champions,2,Champions
C00432,29,14,27957.07,5,4,5,545,14,Champions,2,Champions
C00433,38,17,29878.85,4,5,5,455,14,Champions,2,Champions
C00434,54,18,37137.91,4,5,5,455,14,Champions,2,Champions
C00435,470,4,3421.59,1,2,2,122,5,Dormant / Lost,3,Dormant / Lost
C00436,25,23,70666.29,5,5,5,555,15,Champions,2,Champions
C00437,96,9,3170.96,3,3,2,332,8,Needs Attention,1,Price-Sensitive / Low-Value
C00438,22,17,29602.36,5,5,5,555,15,Champions,2,Champions
C00439,384,5,3000.7,1,2,2,122,5,Dormant / Lost,3,Dormant / Lost
C00440,14,16,30178.66,5,5,5,555,15,Champions,2,Champions
C00441,300,8,6966.58,1,3,3,133,7,At Risk,3,Dormant / Lost
C00442,89,10,3625.47,3,4,3,343,10,Loyal Customers,1,Price-Sensitive / Low-Value
C00443,16,25,79566.68,5,5,5,555,15,Champions,2,Champions
C00444,291,2,1449.8200000000002,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00445,33,3,3741.6,4,1,3,413,8,New Customers,1,Price-Sensitive / Low-Value
C00446,9,16,26783.18,5,5,5,555,15,Champions,2,Champions
C00447,77,9,2808.87,3,3,2,332,8,Needs Attention,1,Price-Sensitive / Low-Value
C00448,385,6,3759.5,1,3,3,133,7,At Risk,3,Dormant / Lost
C00449,73,3,3350.91,3,1,2,312,6,Needs Attention,1,Price-Sensitive / Low-Value
C00450,169,13,22352.6,2,4,4,244,10,At Risk,0,At Risk
C00451,66,8,3217.71,4,3,2,432,9,Needs Attention,1,Price-Sensitive / Low-Value
C00452,160,8,3980.94,2,3,3,233,8,At Risk,1,Price-Sensitive / Low-Value
C00453,322,1,265.69,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00454,111,9,3136.41,3,3,2,332,8,Needs Attention,1,Price-Sensitive / Low-Value
C00455,34,22,34415.92,4,5,5,455,14,Champions,2,Champions
C00456,366,3,2173.87,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00457,14,12,25105.17,5,4,4,544,13,Champions,2,Champions
C00458,47,11,20471.66,4,4,4,444,12,Champions,0,At Risk
C00459,88,1,1091.83,3,1,1,311,5,Needs Attention,1,Price-Sensitive / Low-Value
C00460,16,5,6378.6,5,2,3,523,10,New Customers,1,Price-Sensitive / Low-Value
C00461,50,25,91380.04,4,5,5,455,14,Champions,2,Champions
C00462,159,7,3045.71,2,3,2,232,7,Needs Attention,1,Price-Sensitive / Low-Value
C00463,217,9,14749.38,1,3,4,134,8,At Risk,0,At Risk
C00464,107,9,12232.91,3,3,4,334,10,Loyal Customers,0,At Risk
C00465,337,4,2626.07,1,2,2,122,5,Dormant / Lost,3,Dormant / Lost
C00466,108,14,22571.64,3,4,4,344,11,Loyal Customers,0,At Risk
C00467,11,25,78250.78,5,5,5,555,15,Champions,2,Champions
C00468,28,12,22724.7,5,4,4,544,13,Champions,2,Champions
C00469,400,5,3453.6499999999996,1,2,3,123,6,Needs Attention,3,Dormant / Lost
C00470,19,26,87894.23,5,5,5,555,15,Champions,2,Champions
C00471,169,8,10341.14,2,3,3,233,8,At Risk,0,At Risk
C00472,19,3,4173.12,5,1,3,513,9,New Customers,1,Price-Sensitive / Low-Value
C00473,87,5,5577.83,3,2,3,323,8,Needs Attention,1,Price-Sensitive / Low-Value
C00474,36,21,71046.34,4,5,5,455,14,Champions,2,Champions
C00475,49,4,3337.56,4,2,2,422,8,New Customers,1,Price-Sensitive / Low-Value
C00476,112,12,18056.47,3,4,4,344,11,Loyal Customers,0,At Risk
C00477,379,3,2273.6400000000003,1,1,2,112,4,Dormant / Lost,3,Dormant / Lost
C00478,46,19,36137.14,4,5,5,455,14,Champions,2,Champions
C00479,111,12,20271.260000000002,3,4,4,344,11,Loyal Customers,0,At Risk
C00480,186,4,8070.67,2,2,3,223,7,Needs Attention,1,Price-Sensitive / Low-Value
C00481,130,15,22113.12,2,5,4,254,11,At Risk,0,At Risk
C00482,148,9,4618.73,2,3,3,233,8,At Risk,0,At Risk
C00483,70,13,25326.51,3,4,4,344,11,Loyal Customers,2,Champions
C00484,36,8,12846.29,4,3,4,434,11,Loyal Customers,0,At Risk
C00485,145,4,1262.25,2,2,1,221,5,Dormant / Lost,1,Price-Sensitive / Low-Value
C00486,94,2,2066.89,3,1,1,311,5,Needs Attention,1,Price-Sensitive / Low-Value
C00487,213,11,17443.46,2,4,4,244,10,At Risk,0,At Risk
C00488,103,11,19043.84,3,4,4,344,11,Loyal Customers,0,At Risk
C00489,51,17,32951.24,4,5,5,455,14,Champions,2,Champions
C00490,23,29,90453.17,5,5,5,555,15,Champions,2,Champions
C00491,31,15,26696.21,5,5,5,555,15,Champions,2,Champions
C00492,46,2,2309.41,4,1,2,412,7,New Customers,1,Price-Sensitive / Low-Value
C00493,249,4,3307.8,1,2,2,122,5,Dormant / Lost,3,Dormant / Lost
C00494,276,10,14302.31,1,4,4,144,9,At Risk,0,At Risk
C00495,157,8,11260.04,2,3,3,233,8,At Risk,0,At Risk
C00496,98,22,38629.72,3,5,5,355,13,Loyal Customers,2,Champions
C00497,160,9,14113.78,2,3,4,234,9,At Risk,0,At Risk
C00498,15,19,69605.88,5,5,5,555,15,Champions,2,Champions
C00499,326,5,2466.24,1,2,2,122,5,Dormant / Lost,3,Dormant / Lost
C00500,116,11,5208.08,3,4,3,343,10,Loyal Customers,0,At Risk
C00501,307,2,915.63,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00502,265,6,5317.7,1,3,3,133,7,At Risk,3,Dormant / Lost
C00503,19,4,4768.77,5,2,3,523,10,New Customers,1,Price-Sensitive / Low-Value
C00504,41,3,3422.67,4,1,2,412,7,New Customers,1,Price-Sensitive / Low-Value
C00505,38,9,14555.85,4,3,4,434,11,Loyal Customers,0,At Risk
C00506,91,1,1206.77,3,1,1,311,5,Needs Attention,1,Price-Sensitive / Low-Value
C00507,415,1,802.68,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00508,4,24,80805.31999999999,5,5,5,555,15,Champions,2,Champions
C00509,184,2,1298.73,2,1,1,211,4,Dormant / Lost,1,Price-Sensitive / Low-Value
C00510,154,10,18955.37,2,4,4,244,10,At Risk,0,At Risk
C00511,423,4,3936.5,1,2,3,123,6,Needs Attention,3,Dormant / Lost
C00512,530,2,1405.02,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00513,127,5,1870.07,2,2,1,221,5,Dormant / Lost,1,Price-Sensitive / Low-Value
C00514,47,5,2070.88,4,2,1,421,7,New Customers,1,Price-Sensitive / Low-Value
C00515,122,4,4242.6,3,2,3,323,8,Needs Attention,1,Price-Sensitive / Low-Value
C00516,302,5,3740.35,1,2,3,123,6,Needs Attention,3,Dormant / Lost
C00517,322,6,4273.24,1,3,3,133,7,At Risk,3,Dormant / Lost
C00518,29,8,3051.2599999999998,5,3,2,532,10,Needs Attention,1,Price-Sensitive / Low-Value
C00519,64,9,4306.650000000001,4,3,3,433,10,Loyal Customers,1,Price-Sensitive / Low-Value
C00520,145,7,2352.38,2,3,2,232,7,Needs Attention,1,Price-Sensitive / Low-Value
C00521,151,3,2021.44,2,1,1,211,4,Dormant / Lost,1,Price-Sensitive / Low-Value
C00522,90,3,3241.83,3,1,2,312,6,Needs Attention,1,Price-Sensitive / Low-Value
C00523,469,5,3938.93,1,2,3,123,6,Needs Attention,3,Dormant / Lost
C00524,229,1,584.05,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00525,19,23,71659.31,5,5,5,555,15,Champions,2,Champions
C00526,123,9,15097.16,3,3,4,334,10,Loyal Customers,0,At Risk
C00527,28,3,4660.3099999999995,5,1,3,513,9,New Customers,1,Price-Sensitive / Low-Value
C00528,25,10,18420.559999999998,5,4,4,544,13,Champions,0,At Risk
C00529,47,16,30921.98,4,5,5,455,14,Champions,2,Champions
C00530,29,4,4726.67,5,2,3,523,10,New Customers,1,Price-Sensitive / Low-Value
C00531,57,12,22873.12,4,4,4,444,12,Champions,2,Champions
C00532,63,12,18404.38,4,4,4,444,12,Champions,0,At Risk
C00533,123,8,3405.48,3,3,2,332,8,Needs Attention,1,Price-Sensitive / Low-Value
C00534,342,6,4493.54,1,3,3,133,7,At Risk,3,Dormant / Lost
C00535,60,10,3762.6,4,4,3,443,11,Loyal Customers,1,Price-Sensitive / Low-Value
C00536,434,3,2318.63,1,1,2,112,4,Dormant / Lost,3,Dormant / Lost
C00537,37,5,1919.1,4,2,1,421,7,New Customers,1,Price-Sensitive / Low-Value
C00538,159,11,16272.51,2,4,4,244,10,At Risk,0,At Risk
C00539,115,7,2623.25,3,3,2,332,8,Needs Attention,1,Price-Sensitive / Low-Value
C00540,180,8,2925.2,2,3,2,232,7,Needs Attention,1,Price-Sensitive / Low-Value
C00541,146,10,12826.08,2,4,4,244,10,At Risk,0,At Risk
C00542,33,32,95542.26,4,5,5,455,14,Champions,2,Champions
C00543,160,4,1483.01,2,2,1,221,5,Dormant / Lost,1,Price-Sensitive / Low-Value
C00544,17,38,122173.91,5,5,5,555,15,Champions,2,Champions
C00545,117,3,1132.67,3,1,1,311,5,Needs Attention,1,Price-Sensitive / Low-Value
C00546,85,12,20485.46,3,4,4,344,11,Loyal Customers,0,At Risk
C00547,118,1,1209.75,3,1,1,311,5,Needs Attention,1,Price-Sensitive / Low-Value
C00548,93,3,2693.45,3,1,2,312,6,Needs Attention,1,Price-Sensitive / Low-Value
C00549,7,21,64785.87,5,5,5,555,15,Champions,2,Champions
C00550,247,9,13803.5,1,3,4,134,8,At Risk,0,At Risk
C00551,55,5,1850.1599999999999,4,2,1,421,7,New Customers,1,Price-Sensitive / Low-Value
C00552,265,6,5071.85,1,3,3,133,7,At Risk,3,Dormant / Lost
C00553,319,2,1761.1599999999999,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00554,91,3,5460.46,3,1,3,313,7,Needs Attention,1,Price-Sensitive / Low-Value
C00555,109,6,1989.35,3,3,1,331,7,Needs Attention,1,Price-Sensitive / Low-Value
C00556,159,10,16216.38,2,4,4,244,10,At Risk,0,At Risk
C00557,135,7,12086.59,2,3,3,233,8,At Risk,0,At Risk
C00558,47,13,24815.34,4,4,4,444,12,Champions,2,Champions
C00559,33,6,7787.74,4,3,3,433,10,Loyal Customers,1,Price-Sensitive / Low-Value
C00560,239,11,20456.48,1,4,4,144,9,At Risk,0,At Risk
C00561,30,16,31896.18,5,5,5,555,15,Champions,2,Champions
C00562,130,10,4582.39,2,4,3,243,9,At Risk,0,At Risk
C00563,224,2,1104.63,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00564,157,15,29322.95,2,5,5,255,12,At Risk,0,At Risk
C00565,36,22,66858.39,4,5,5,455,14,Champions,2,Champions
C00566,113,13,20798.98,3,4,4,344,11,Loyal Customers,0,At Risk
C00567,23,3,3183.2000000000003,5,1,2,512,8,New Customers,1,Price-Sensitive / Low-Value
C00568,87,12,5281.72,3,4,3,343,10,Loyal Customers,0,At Risk
C00569,188,11,16366.0,2,4,4,244,10,At Risk,0,At Risk
C00570,229,4,1538.95,1,2,1,121,4,Dormant / Lost,3,Dormant / Lost
C00571,306,6,2988.49,1,3,2,132,6,Needs Attention,3,Dormant / Lost
C00572,47,16,27123.97,4,5,5,455,14,Champions,2,Champions
C00573,522,5,4687.76,1,2,3,123,6,Needs Attention,3,Dormant / Lost
C00574,131,8,15447.43,2,3,4,234,9,At Risk,0,At Risk
C00575,34,20,37721.48,4,5,5,455,14,Champions,2,Champions
C00576,199,10,13927.76,2,4,4,244,10,At Risk,0,At Risk
C00577,11,14,24926.75,5,4,4,544,13,Champions,2,Champions
C00578,15,18,37196.09,5,5,5,555,15,Champions,2,Champions
C00579,212,13,20147.08,2,4,4,244,10,At Risk,0,At Risk
C00580,62,7,2599.8,4,3,2,432,9,Needs Attention,1,Price-Sensitive / Low-Value
C00581,375,8,6256.88,1,3,3,133,7,At Risk,3,Dormant / Lost
C00582,94,12,5102.61,3,4,3,343,10,Loyal Customers,0,At Risk
C00583,16,11,21217.579999999998,5,4,4,544,13,Champions,2,Champions
C00584,114,7,2896.17,3,3,2,332,8,Needs Attention,1,Price-Sensitive / Low-Value
C00585,196,5,2147.68,2,2,1,221,5,Dormant / Lost,1,Price-Sensitive / Low-Value
C00586,328,8,5403.46,1,3,3,133,7,At Risk,3,Dormant / Lost
C00587,142,3,1829.16,2,1,1,211,4,Dormant / Lost,1,Price-Sensitive / Low-Value
C00588,376,4,3463.1000000000004,1,2,3,123,6,Needs Attention,3,Dormant / Lost
C00589,199,6,8797.029999999999,2,3,3,233,8,At Risk,0,At Risk
C00590,95,7,2817.11,3,3,2,332,8,Needs Attention,1,Price-Sensitive / Low-Value
C00591,29,16,27549.2,5,5,5,555,15,Champions,2,Champions
C00592,334,3,2688.6,1,1,2,112,4,Dormant / Lost,3,Dormant / Lost
C00593,35,11,18315.09,4,4,4,444,12,Champions,0,At Risk
C00594,30,24,72977.54,5,5,5,555,15,Champions,2,Champions
C00595,6,14,25981.44,5,4,4,544,13,Champions,2,Champions
C00596,114,11,5206.1,3,4,3,343,10,Loyal Customers,0,At Risk
C00597,60,2,1410.5900000000001,4,1,1,411,6,New Customers,1,Price-Sensitive / Low-Value
C00598,47,2,2983.75,4,1,2,412,7,New Customers,1,Price-Sensitive / Low-Value
C00599,378,4,3326.3900000000003,1,2,2,122,5,Dormant / Lost,3,Dormant / Lost
C00600,326,1,441.1,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00601,129,10,14723.14,2,4,4,244,10,At Risk,0,At Risk
C00602,32,16,27768.23,5,5,5,555,15,Champions,2,Champions
C00603,84,5,4319.22,3,2,3,323,8,Needs Attention,1,Price-Sensitive / Low-Value
C00604,226,3,2397.38,1,1,2,112,4,Dormant / Lost,3,Dormant / Lost
C00605,131,4,5749.219999999999,2,2,3,223,7,Needs Attention,1,Price-Sensitive / Low-Value
C00606,109,7,2900.1800000000003,3,3,2,332,8,Needs Attention,1,Price-Sensitive / Low-Value
C00607,48,20,35354.92,4,5,5,455,14,Champions,2,Champions
C00608,458,3,2429.59,1,1,2,112,4,Dormant / Lost,3,Dormant / Lost
C00609,67,6,2479.71,4,3,2,432,9,Needs Attention,1,Price-Sensitive / Low-Value
C00610,72,2,2624.95,3,1,2,312,6,Needs Attention,1,Price-Sensitive / Low-Value
C00611,37,29,93072.51000000001,4,5,5,455,14,Champions,2,Champions
C00612,339,1,413.65,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00613,102,5,2349.71,3,2,2,322,7,Needs Attention,1,Price-Sensitive / Low-Value
C00614,33,16,26464.93,4,5,5,455,14,Champions,2,Champions
C00615,123,7,2786.7200000000003,3,3,2,332,8,Needs Attention,1,Price-Sensitive / Low-Value
C00616,71,7,2941.2599999999998,3,3,2,332,8,Needs Attention,1,Price-Sensitive / Low-Value
C00617,255,1,825.14,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00618,129,6,2061.4900000000002,2,3,1,231,6,Needs Attention,1,Price-Sensitive / Low-Value
C00619,112,3,992.69,3,1,1,311,5,Needs Attention,1,Price-Sensitive / Low-Value
C00620,502,4,2965.71,1,2,2,122,5,Dormant / Lost,3,Dormant / Lost
C00621,22,26,88402.04,5,5,5,555,15,Champions,2,Champions
C00622,19,16,30548.16,5,5,5,555,15,Champions,2,Champions
C00623,11,16,28182.59,5,5,5,555,15,Champions,2,Champions
C00624,58,11,4097.29,4,4,3,443,11,Loyal Customers,0,At Risk
C00625,77,9,3271.81,3,3,2,332,8,Needs Attention,1,Price-Sensitive / Low-Value
C00626,252,4,4059.97,1,2,3,123,6,Needs Attention,3,Dormant / Lost
C00627,115,7,3132.31,3,3,2,332,8,Needs Attention,1,Price-Sensitive / Low-Value
C00628,23,5,5315.82,5,2,3,523,10,New Customers,1,Price-Sensitive / Low-Value
C00629,118,4,2638.0699999999997,3,2,2,322,7,Needs Attention,1,Price-Sensitive / Low-Value
C00630,56,17,32677.54,4,5,5,455,14,Champions,2,Champions
C00631,533,1,1134.3,1,1,1,111,3,Dormant / Lost,3,Dormant / Lost
C00632,149,11,19511.03,2,4,4,244,10,At Risk,0,At Risk
C00633,126,5,2264.3199999999997,2,2,1,221,5,Dormant / Lost,1,Price-Sensitive / Low-Value
C00634,107,8,2745.37,3,3,2,332,8,Needs Attention,1,Price-Sensitive / Low-Value
C00635,73,8,4041.7400000000002,3,3,3,333,9,Loyal Customers,1,Price-Sensitive / Low-Value
C00636,53,18,31301.52,4,5,5,455,14,Champions,2,Champions
C00637,145,2,2299.74,2,1,2,212,5,Dormant / Lost,1,Price-Sensitive / Low-Value
C00638,76,2,1015.63,3,1,1,311,5,Needs Attention,1,Price-Sensitive / Low-Value
C00639,395,5,4464.93,1,2,3,123,6,Needs Attention,3,Dormant / Lost
C00640,145,3,2488.67,2,1,2,212,5,Dormant / Lost,1,Price-Sensitive / Low-Value
C00641,398,3,2388.18,1,1,2,112,4,Dormant / Lost,3,Dormant / Lost
C00642,196,5,7559.72,2,2,3,223,7,Needs Attention,0,At Risk
C00643,72,1,647.83,3,1,1,311,5,Needs Attention,1,Price-Sensitive / Low-Value
C00644,48,8,3119.67,4,3,2,432,9,Needs Attention,1,Price-Sensitive / Low-Value
C00645,85,10,3963.98,3,4,3,343,10,Loyal Customers,1,Price-Sensitive / Low-Value
C00646,407,5,3000.08,1,2,2,122,5,Dormant / Lost,3,Dormant / Lost
C00647,211,4,1236.36,2,2,1,221,5,Dormant / Lost,1,Price-Sensitive / Low-Value
C00648,172,2,3301.81,2,1,2,212,5,Dormant / Lost,1,Price-Sensitive / Low-Value
C00649,8,27,90657.46,5,5,5,555,15,Champions,2,Champions
C00650,180,12,20386.9,2,4,4,244,10,At Risk,0,At Risk
C00651,154,14,25163.05,2,4,4,244,10,At Risk,0,At Risk
C00652,73,5,2382.33,3,2,2,322,7,Needs Attention,1,Price-Sensitive / Low-Value
C00653,45,20,35807.75,4,5,5,455,14,Champions,2,Champions
C00654,36,21,36810.2,4,5,5,455,14,Champions,2,Champions
C00655,47,13,24141.88,4,4,4,444,12,Champions,2,Champions
C00656,42,20,34861.62,4,5,5,455,14,Champions,2,Champions
C00657,164,13,24828.85,2,4,4,244,10,At Risk,0,At Risk
C00658,287,6,4697.0,1,3,3,133,7,At Risk,3,Dormant / Lost
C00659,83,3,912.92,3,1,1,311,5,Needs Attention,1,Price-Sensitive / Low-Value
C00660,99,4,2065.52,3,2,1,321,6,Needs Attention,1,Price-Sensitive / Low-Value
C00661,130,5,2202.9,2,2,1,221,5,Dormant / Lost,1,Price-Sensitive / Low-Value
C00662,37,18,34086.24,4,5,5,455,14,Champions,2,Champions
C00663,302,7,6019.8,1,3,3,133,7,At Risk,3,Dormant / Lost
C00664,15,9,17050.02,5,3,4,534,12,Loyal Customers,0,At Risk
C00665,159,11,18790.38,2,4,4,244,10,At Risk,0,At Risk
C00666,143,5,2285.31,2,2,2,222,6,Dormant / Lost,1,Price-Sensitive / Low-Value
C00667,36,11,18530.61,4,4,4,444,12,Champions,0,At Risk
C00668,108,9,2923.4500000000003,3,3,2,332,8,Needs Attention,1,Price-Sensitive / Low-Value
C00669,209,10,14427.05,2,4,4,244,10,At Risk,0,At Risk
C00670,50,8,3872.97,4,3,3,433,10,Loyal Customers,1,Price-Sensitive / Low-Value
C00671,89,4,4042.97,3,2,3,323,8,Needs Attention,1,Price-Sensitive / Low-Value
C00672,17,17,32732.22,5,5,5,555,15,Champions,2,Champions
C00673,55,6,2123.76,4,3,1,431,8,Needs Attention,1,Price-Sensitive / Low-Value
C00674,21,19,34331.26,5,5,5,555,15,Champions,2,Champions
C00675,53,5,6025.91,4,2,3,423,9,New Customers,1,Price-Sensitive / Low-Value
C00676,10,36,118263.13,5,5,5,555,15,Champions,2,Champions
C00677,124,7,2203.7999999999997,3,3,1,331,7,Needs Attention,1,Price-Sensitive / Low-Value
C00678,28,4,1132.6299999999999,5,2,1,521,8,New Customers,1,Price-Sensitive / Low-Value
C00679,164,9,15404.79,2,3,4,234,9,At Risk,0,At Risk
C00680,74,2,1368.79,3,1,1,311,5,Needs Attention,1,Price-Sensitive / Low-Value
C00681,250,5,4181.84,1,2,3,123,6,Needs Attention,3,Dormant / Lost
C00682,31,8,2591.65,5,3,2,532,10,Needs Attention,1,Price-Sensitive / Low-Value
C00683,123,5,1714.15,3,2,1,321,6,Needs Attention,1,Price-Sensitive / Low-Value
